popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
78,6,4,9,9,1,1,4,0,1,3,4,1,4
87,7,7,3,9,1,1,3,0,1,6,4,1,4
77,7,8,1,10,2,0,0,0,1,8,5,1,4
77,8,6,6,9,2,0,5,6,1,6,7,1,4
87,9,5,0,9,2,1,0,0,1,5,6,1,4
77,7,6,8,9,1,2,1,0,0,6,6,1,4
88,7,6,6,9,2,0,1,0,7,6,5,1,4
82,9,3,7,8,1,3,3,0,1,5,4,1,4
76,5,6,5,9,1,4,2,0,0,6,4,1,5
79,6,6,7,9,1,0,1,0,2,6,5,1,4
78,7,5,9,9,1,0,2,0,2,5,7,1,4
92,7,7,9,9,1,0,0,0,2,6,4,1,4
75,7,4,0,9,1,0,2,0,2,4,4,1,4
80,8,8,7,10,2,0,0,0,2,4,5,1,4
80,9,3,0,9,2,0,0,0,0,4,4,1,4
83,9,3,0,9,2,1,0,0,0,3,6,1,4
78,7,5,0,9,2,3,0,0,0,7,6,1,4
78,6,6,0,9,2,3,0,0,1,2,7,1,4
81,7,5,0,9,2,0,0,0,0,6,6,1,4
81,6,5,0,9,1,0,0,0,1,0,5,1,4
76,6,7,3,9,2,0,5,0,0,5,5,1,4
81,3,0,0,6,2,0,9,0,3,0,3,1,3
81,2,5,0,8,2,0,1,0,0,1,5,1,4
78,3,8,2,10,2,1,0,0,1,8,9,1,4
78,7,6,6,9,2,1,1,0,0,3,7,1,4
76,7,4,1,9,1,1,6,0,1,5,3,1,5
76,8,6,0,10,2,3,0,0,3,6,7,1,4
81,9,6,6,9,2,2,1,0,1,5,4,1,4
86,6,4,0,8,2,3,2,3,1,6,6,1,4
78,9,3,9,9,2,6,0,0,0,3,4,1,4
81,5,1,8,7,2,2,7,0,2,0,5,1,4
79,6,6,0,10,1,0,1,0,1,2,4,1,4
77,5,4,1,8,2,3,0,0,1,1,8,1,4
77,4,4,0,8,2,3,8,0,1,3,4,1,2
80,6,7,9,9,1,0,0,0,1,4,6,1,4
77,7,7,0,10,2,2,3,0,1,7,8,1,4
79,7,8,9,10,1,0,0,0,1,7,4,1,4
78,7,6,4,8,1,3,0,0,0,3,6,1,4
78,7,6,6,10,2,0,1,0,1,3,5,1,4
77,8,5,0,9,1,3,0,0,1,1,3,1,4
77,6,6,7,9,2,3,0,0,0,8,7,1,4
80,7,8,7,10,2,2,4,0,1,7,7,1,4
75,6,7,4,9,1,2,1,0,2,8,7,1,4
84,3,6,3,9,1,0,0,0,1,0,5,1,4
77,8,4,0,9,1,5,0,0,1,2,6,1,4
81,8,7,5,9,1,1,0,0,1,3,4,1,4
80,7,7,0,9,2,0,0,0,1,5,7,1,4
0,7,8,0,10,2,0,1,0,4,8,4,1,4
0,9,6,5,10,1,3,0,0,0,8,4,1,4
80,8,6,0,8,2,0,7,0,1,2,4,1,4
76,8,3,0,8,2,1,4,0,0,0,4,1,4
77,9,6,0,9,1,3,0,0,1,5,5,1,4
78,6,6,0,9,2,0,0,0,1,4,3,1,4
88,6,5,9,9,1,0,1,0,1,5,5,1,4
77,9,4,4,9,2,2,0,0,1,6,5,1,4
77,6,5,1,9,2,0,0,0,1,4,6,1,4
80,5,7,3,9,1,2,3,0,3,6,5,1,4
77,7,5,0,9,2,0,0,0,1,4,3,1,4
